symbol,entry_price,exit_price,entry_time,exit_time,pnl,reason,duration,rsi,adx,volume_ratio,upper_wick_ratio,date,balance,is_loss
UNIUSDTUSDT,6.2581275,6.2675084331225,2025-06-01 04:45:00,2025-06-01 04:45:00,0.444252094166536,Smart Break-even,0 days 00:00:00,70.44359239501176,28.982288334546087,6.928759623156528,0.0004796163069544,2025-06-01,397.3114888824113,False
ZENUSDTUSDT,10.833414,10.676405330898,2025-06-01 06:00:00,2025-06-01 06:00:00,-6.673869370224116,Stop Loss,0 days 00:00:00,83.11053698161349,49.49958513298434,9.487514674961094,0.03483644428017,2025-06-01,390.6376195121872,True
ZENUSDTUSDT,10.779386999999998,10.623161344209,2025-06-01 06:15:00,2025-06-01 06:15:00,-6.526229044045582,Stop Loss,0 days 00:00:00,81.3315112314157,50.73487538118804,3.916755797470063,0.0415700102069221,2025-06-01,384.1113904681416,True
SOONUSDTUSDT,0.3008703599999999,0.29650984587252,2025-06-01 14:15:00,2025-06-01 14:15:00,-6.381854839018784,Stop Loss,0 days 00:00:00,79.14670146887207,37.881565267630386,8.292559433101621,0.0126363394519819,2025-06-01,377.72953562912284,True
FARTCOINUSDTUSDT,1.1275635,1.144177486542963,2025-06-01 15:45:00,2025-06-01 16:00:00,5.9247179863098225,Smart Trailing (Max 82%),0 days 00:15:00,77.07661864256781,35.33159515774655,3.7742551745510418,0.015882874889086,2025-06-01,383.65425361543265,False
EIGENUSDTUSDT,1.40920425,1.38878065280475,2025-06-01 16:30:00,2025-06-01 16:45:00,-6.358513997276757,Stop Loss,0 days 00:15:00,73.69073087570838,30.04287850662987,2.657283233459023,0.0031238906638267,2025-06-01,377.2957396181559,True
OMUSDTUSDT,0.321270555,0.316614380846385,2025-06-02 00:15:00,2025-06-02 00:15:00,-6.2178500093423965,Stop Loss,0 days 00:00:00,67.06054391943884,44.50873678374976,8.420609416949175,0.0167268876152503,2025-06-02,371.0778896088135,True
SOONUSDTUSDT,0.31505745,0.3237258718896645,2025-06-02 01:15:00,2025-06-02 01:15:00,10.954950747077342,Smart Trailing (Max 63%),0 days 00:00:00,73.69177042670717,31.25155104857691,3.160219342145522,0.0015560495395363,2025-06-02,382.03284035589087,False
SOONUSDTUSDT,0.32126055,0.31660452084885,2025-06-02 01:30:00,2025-06-02 01:30:00,-6.31048289941478,Stop Loss,0 days 00:00:00,76.5156928388933,33.248017500138175,5.101024502067149,0.0125872382851445,2025-06-02,375.72235745647606,True
SOONUSDTUSDT,0.32050017,0.31585516103619,2025-06-02 01:45:00,2025-06-02 01:45:00,-6.170881462537642,Stop Loss,0 days 00:00:00,75.64914781000897,35.76545607416967,5.140434140876809,0.0084597615034026,2025-06-02,369.5514759939384,True
AAVEUSDTUSDT,251.435655,247.791598052085,2025-06-02 14:30:00,2025-06-02 14:45:00,-6.034368309313097,Stop Loss,0 days 00:15:00,70.03642498603635,25.41913322947423,2.8968870332549916,0.0011937447773666,2025-06-02,363.51710768462533,True
HYPEUSDTUSDT,34.692337499999994,34.7443413139125,2025-06-02 18:30:00,2025-06-02 18:30:00,0.3930767671609675,Smart Break-even,0 days 00:00:00,77.74182194275564,31.103327126113516,2.699143717872841,0.0035181820803414,2025-06-02,363.9101844517863,False
HYPEUSDTUSDT,35.997989999999994,35.476271130929995,2025-06-02 20:15:00,2025-06-02 20:30:00,-5.900861584983685,Stop Loss,0 days 00:15:00,81.04129091071034,41.177298811375486,2.756444055168223,0.0,2025-06-02,358.0093228668026,True
ENAUSDTUSDT,0.3203601,0.3208403197899,2025-06-02 21:30:00,2025-06-02 21:30:00,0.3838315388333796,Smart Break-even,0 days 00:00:00,68.2220231310098,25.56198498375909,9.365995599885752,0.0140537164272329,2025-06-02,358.393154405636,False
WIFUSDTUSDT,0.9398697,0.9606702390222216,2025-06-02 21:15:00,2025-06-02 22:00:00,8.319011019039452,Smart Trailing (Max 53%),0 days 00:45:00,77.9348958279851,29.11268037513622,3.707918441670819,0.0020223523150612,2025-06-02,366.71216542467545,False
ZENUSDTUSDT,11.439716999999998,11.959204084770205,2025-06-02 22:15:00,2025-06-02 22:15:00,17.793099562750868,Smart Trailing (Max 97%),0 days 00:00:00,86.34201895961013,36.949956042452094,3.5778598634543237,0.0051605003061314,2025-06-02,384.5052649874263,False
OPUSDTUSDT,0.6601299,0.6718397178156819,2025-06-02 21:45:00,2025-06-02 22:30:00,6.629644089046871,Smart Trailing (Max 44%),0 days 00:45:00,66.04420829880073,27.95936354184849,2.8997808294904854,0.0093967869051227,2025-06-02,391.1349090764732,False
SPXUSDTUSDT,1.1041518,1.1384117092294024,2025-06-02 22:30:00,2025-06-02 22:30:00,12.861835492655691,Smart Trailing (Max 70%),0 days 00:00:00,75.38872890024979,25.094111291188096,3.022374983024471,0.0112339191882589,2025-06-02,403.99674456912885,False
ZENUSDTUSDT,11.7688815,12.0285022575279,2025-06-02 22:45:00,2025-06-02 23:00:00,9.676910686442076,Smart Trailing (Max 53%),0 days 00:15:00,83.06493978839833,44.08253126518991,2.7494850031458538,0.0200629091218227,2025-06-02,413.67365525557096,False
ETHUSDTUSDT,2593.806255,2608.6943048664616,2025-06-02 23:15:00,2025-06-02 23:45:00,2.422473296111609,Smart Trailing (Max 39%),0 days 00:30:00,76.20737667519602,49.69785315172197,3.7147181981697464,0.0047328468054248,2025-06-02,416.09612855168257,False
ZENUSDTUSDT,11.9709825,12.140409115524616,2025-06-03 00:15:00,2025-06-03 00:15:00,6.354976127616552,Smart Trailing (Max 38%),0 days 00:00:00,79.00311610608874,58.24083363681171,2.6996362887347782,0.0317699189031016,2025-06-03,422.4511046792991,False
1000PEPEUSDTUSDT,0.01245092235,0.0124695862826026,2025-06-03 00:30:00,2025-06-03 00:30:00,0.4736174060925683,Smart Break-even,0 days 00:00:00,71.01575356943405,51.489494283233185,2.578113623834915,0.0108639753149908,2025-06-03,422.9247220853917,False
EIGENUSDTUSDT,1.5343668,1.552412478683822,2025-06-03 01:15:00,2025-06-03 01:30:00,5.339947659938757,Smart Trailing (Max 33%),0 days 00:15:00,73.27548790015672,57.6359141751588,2.7470869769811532,0.0080192984743773,2025-06-03,428.2646697453304,False
WLDUSDTUSDT,1.2202098,1.2391057237138374,2025-06-03 00:45:00,2025-06-03 02:00:00,7.111361261564912,Smart Trailing (Max 40%),0 days 01:15:00,78.50788656304579,49.027301713369106,2.691321395811393,0.008691374221056,2025-06-03,435.37603100689535,False
UNIUSDTUSDT,6.462229499999999,6.554860772428281,2025-06-03 01:30:00,2025-06-03 02:00:00,6.555530010158972,Smart Trailing (Max 80%),0 days 00:30:00,65.53570056746946,49.17400650947945,3.692787960191677,0.0066584081759058,2025-06-03,441.9315610170543,False
POPCATUSDTUSDT,0.4232114999999999,0.4238458940385,2025-06-03 01:45:00,2025-06-03 02:15:00,0.4805554551075864,Smart Break-even,0 days 00:30:00,85.77427304883523,41.63398365070769,4.499986013295643,0.0101654846335698,2025-06-03,442.4121164721619,False
MOODENGUSDTUSDT,0.22423206,0.22098226475442,2025-06-03 04:15:00,2025-06-03 04:15:00,-7.511827956648782,Stop Loss,0 days 00:00:00,70.7704929265334,44.90250611301284,2.5034861086914137,0.0245828500044614,2025-06-03,434.9002885155131,True
TRBUSDTUSDT,43.667823,43.034945241261006,2025-06-03 07:30:00,2025-06-03 07:30:00,-7.345650186573647,Stop Loss,0 days 00:00:00,67.75608921874395,26.479928731031755,3.0127047213672293,0.0013514442128411,2025-06-03,427.55463832893946,True
HYPEUSDTUSDT,37.694838,37.751342562162,2025-06-03 10:45:00,2025-06-03 11:00:00,0.4784932374076818,Smart Break-even,0 days 00:15:00,76.96660447793245,25.584409461641535,2.599145544062343,0.0018579467034717,2025-06-03,428.03313156634715,False
MOODENGUSDTUSDT,0.2312055449999999,0.227854683036315,2025-06-03 13:30:00,2025-06-03 13:30:00,-7.188264057562732,Stop Loss,0 days 00:00:00,74.52546507251256,26.037365533968305,3.9767218380654503,0.0153619801808818,2025-06-03,420.84486750878443,True
AAVEUSDTUSDT,266.763315,267.16319320918495,2025-06-03 13:45:00,2025-06-03 14:00:00,0.468241156723001,Smart Break-even,0 days 00:15:00,75.60378003240213,34.722995572873344,4.174933732497583,0.0034130972920259,2025-06-03,421.31310866550746,False
FARTCOINUSDTUSDT,1.19729835,1.1799459050134502,2025-06-03 15:00:00,2025-06-03 15:00:00,-7.029235249017497,Stop Loss,0 days 00:00:00,71.11735876285232,31.566776528727925,3.4839685455410563,0.0026737967914437,2025-06-03,414.28387341648994,True
ALCHUSDTUSDT,0.138099015,0.136097545975605,2025-06-03 15:15:00,2025-06-03 15:15:00,-6.873733466261497,Stop Loss,0 days 00:00:00,88.26692086893641,34.875102591870764,7.368330703429573,0.0130340333091962,2025-06-03,407.4101399502284,True
ALCHUSDTUSDT,0.1396597949999999,0.1376357055910649,2025-06-03 15:30:00,2025-06-03 15:30:00,-6.721671716963432,Stop Loss,0 days 00:00:00,88.83570087599124,37.42750216495205,5.4482001798969435,0.0082407739161589,2025-06-03,400.688468233265,True
XRPUSDTUSDT,2.2609299,2.2643190339201,2025-06-03 15:45:00,2025-06-03 15:45:00,0.4378474851035082,Smart Break-even,0 days 00:00:00,76.24518190016252,33.04522678518145,2.8370067679329862,0.0027878573325072,2025-06-03,401.1263157183685,False
XRPUSDTUSDT,2.26323105,2.26662363334395,2025-06-03 16:00:00,2025-06-03 16:30:00,0.4381592952970823,Smart Break-even,0 days 00:30:00,76.92316335329762,35.26892696382243,3.2738074641621013,0.0054813897975422,2025-06-03,401.5644750136656,False
OPUSDTUSDT,0.684342,0.674423831394,2025-06-03 14:00:00,2025-06-03 20:15:00,-7.024225836426264,Stop Loss,0 days 06:15:00,67.3754629111735,25.35754663318742,2.8072344290148905,0.0078958912121656,2025-06-03,394.54024917723933,True
TRBUSDTUSDT,48.009992999999994,47.314184171451,2025-06-04 02:15:00,2025-06-04 02:15:00,-6.422782218434371,Stop Loss,0 days 00:00:00,75.23760185262927,36.86424176111888,7.058213731093419,0.000187535162843,2025-06-04,388.117466958805,True
TRBUSDTUSDT,48.036006,49.18072061423163,2025-06-04 02:30:00,2025-06-04 03:00:00,9.773014255398497,Smart Trailing (Max 56%),0 days 00:30:00,75.53287976758355,38.92269873634708,4.486541252012846,0.0114315460697553,2025-06-04,397.8904812142035,False
TRBUSDTUSDT,50.5102425,49.7781975554475,2025-06-04 04:00:00,2025-06-04 04:00:00,-6.485435341873425,Stop Loss,0 days 00:00:00,83.71099577838727,54.61194040519711,4.060498357519445,0.0002971179558284,2025-06-04,391.40504587233005,True
TRBUSDTUSDT,50.220097499999994,52.194136825287025,2025-06-04 04:15:00,2025-06-04 05:00:00,16.415105809081666,Smart Trailing (Max 86%),0 days 00:45:00,79.78822489493828,57.51275871394056,3.5254042110937793,0.0270151810973422,2025-06-04,407.8201516814117,False
TRBUSDTUSDT,51.6348045,50.8864612783815,2025-06-04 07:30:00,2025-06-04 07:30:00,-6.688854055792552,Stop Loss,0 days 00:00:00,67.70969301497182,52.10322529530212,2.77147017538053,0.0386590446662146,2025-06-04,401.13129762561914,True
COMPUSDTUSDT,47.2236,47.2943881764,2025-06-04 09:45:00,2025-06-04 09:45:00,0.4357097534474721,Smart Break-even,0 days 00:00:00,83.39897866697211,35.63971255295147,9.112261996955894,0.0038127515356915,2025-06-04,401.56700737906664,False
COMPUSDTUSDT,47.193585,50.6775735375,2025-06-04 10:00:00,2025-06-04 10:00:00,32.010357931445384,Smart Trailing (Max 154%),0 days 00:00:00,82.1620334994721,43.63048678243031,6.754365929192948,0.0144159423362306,2025-06-04,433.577365310512,False
COMPUSDTUSDT,48.39418499999999,47.692808076795,2025-06-04 10:30:00,2025-06-04 10:30:00,-7.220993037209222,Stop Loss,0 days 00:00:00,72.34759735939987,50.72284661754386,11.400719049871649,0.0465068210004133,2025-06-04,426.3563722733028,True
COMPUSDTUSDT,47.793885,47.10120822469501,2025-06-04 10:45:00,2025-06-04 10:45:00,-7.061249160275866,Stop Loss,0 days 00:00:00,65.46230729031203,51.486792190725915,3.831151384382015,0.0133947258267057,2025-06-04,419.29512311302693,True
BCHUSDTUSDT,410.335065,404.388078902955,2025-06-04 10:15:00,2025-06-04 12:15:00,-7.226151994869558,Stop Loss,0 days 02:00:00,82.19266330921663,26.520366853659095,4.6006415482562275,0.0008533879501621,2025-06-04,412.0689711181574,True
TRBUSDTUSDT,54.650311499999994,53.8582645354305,2025-06-04 15:30:00,2025-06-04 15:30:00,-6.750340114537711,Stop Loss,0 days 00:00:00,77.8577704416807,37.36853170784118,3.2783323692227997,0.0209050303873472,2025-06-04,405.31863100361966,True
EIGENUSDTUSDT,1.5799895999999998,1.627389370602636,2025-06-04 15:45:00,2025-06-04 15:45:00,12.98773988918323,Smart Trailing (Max 68%),0 days 00:00:00,72.60890469735523,32.31253705066975,3.06678534005231,0.0079154002026342,2025-06-04,418.3063708928029,False
EIGENUSDTUSDT,1.61050485,1.58716380320895,2025-06-04 16:00:00,2025-06-04 16:15:00,-6.874339825351808,Stop Loss,0 days 00:15:00,77.45454910825163,37.138545922416846,4.476596086642311,0.0149735942839391,2025-06-04,411.4320310674511,True
LDOUSDTUSDT,0.91435695,0.9265194459516266,2025-06-04 16:15:00,2025-06-04 16:15:00,5.865215673657583,Smart Trailing (Max 36%),0 days 00:00:00,80.18580255964832,25.478180047810696,7.862170692346662,0.0273552905131851,2025-06-04,417.29724674110867,False
EIGENUSDTUSDT,1.6225108499999998,1.59899580025095,2025-06-04 17:00:00,2025-06-04 17:00:00,-6.842924200361478,Stop Loss,0 days 00:00:00,72.25476554296893,41.618635242570654,2.6707316407562827,0.0048088779284832,2025-06-04,410.45432254074717,True
AIXBTUSDTUSDT,0.1879039049999999,0.185180613704835,2025-06-05 13:15:00,2025-06-05 13:30:00,-6.681992857534273,Stop Loss,0 days 00:15:00,75.41394214374236,31.26928457728861,4.738886246937833,0.0082010863776759,2025-06-05,403.7723296832129,True
TRXUSDTUSDT,0.280750305,0.281171149707195,2025-06-05 23:30:00,2025-06-06 00:00:00,0.4352628172493427,Smart Break-even,0 days 00:30:00,79.43214954263986,46.4142490941122,10.400726858768593,0.0153955808980755,2025-06-06,404.2075925004622,False
COMPUSDTUSDT,46.233104999999995,49.2618317625,2025-06-06 06:00:00,2025-06-06 06:15:00,28.351884145762224,Smart Trailing (Max 137%),0 days 00:15:00,86.07086885005116,45.67815319871297,7.512516771707158,0.0023804371348192,2025-06-06,432.5594766462245,False
