symbol,entry_price,exit_price,entry_time,exit_time,pnl,balance_after,reason,duration,rsi,adx,volume_ratio,upper_wick_ratio
RESOLVUSDTUSDT,0.13704849,0.1463099334375,2025-11-23 03:30:00,2025-11-23 03:30:00,89.61399242192782,1024.5961717457103,Smart Trailing (Max 142%),0 days 00:00:00,77.90233749018084,26.502776867640694,11.341816259461384,0.0070072992700729
RESOLVUSDTUSDT,0.13916955,0.13715256571185,2025-11-23 04:15:00,2025-11-23 04:15:00,-21.934779524035513,1001.929903557617,Stop Loss,0 days 00:00:00,68.83919237797679,39.38109473082425,2.629376978437227,0.0025878800948889
WIFUSDTUSDT,0.33846915,0.3437499744074418,2025-11-23 04:30:00,2025-11-23 06:00:00,21.604877641834246,1022.819474635906,Smart Trailing (Max 40%),0 days 01:30:00,65.90529044416735,32.78467142457599,2.996416295585382,0.0115282293822051
ZENUSDTUSDT,13.1875905,12.9964627508835,2025-11-23 10:00:00,2025-11-23 10:15:00,-21.896743602704525,999.4628119005944,Stop Loss,0 days 00:15:00,75.39825144129706,29.232159004412978,4.39119228235545,0.0008345978755691
TNSRUSDTUSDT,0.1284742049999999,0.1266122283469349,2025-11-23 10:15:00,2025-11-23 10:15:00,-21.88111088791714,977.5817010126772,Stop Loss,0 days 00:00:00,83.38123846885851,35.860176084034165,4.115673921390288,0.0359062232261079
DYMUSDTUSDT,0.1122460949999999,0.1106193123451649,2025-11-23 11:00:00,2025-11-23 11:00:00,-20.91334212175753,955.2730097952222,Stop Loss,0 days 00:00:00,70.26505505474363,37.670014573819685,2.701094296278227,0.0060665536622357
DYMUSDTUSDT,0.11395695,0.11230537192365,2025-11-23 11:15:00,2025-11-23 11:15:00,-20.450694071420255,934.1403188580954,Stop Loss,0 days 00:00:00,71.64066795331394,41.008641461178385,3.463972573652544,0.0227372487051181
DYMUSDTUSDT,0.1247923649999999,0.1229837492540549,2025-11-23 11:45:00,2025-11-23 11:45:00,-19.99828078974116,913.4751284382704,Stop Loss,0 days 00:00:00,78.27020410236393,48.82988367530601,3.70605090365115,0.0129838903582591
DYMUSDTUSDT,0.1224912149999999,0.1207159498210049,2025-11-23 12:00:00,2025-11-23 12:00:00,-19.55587586165244,893.2670964200976,Stop Loss,0 days 00:00:00,74.17178638704935,51.672157264445325,3.2851173083298666,0.0595442293555501
HBARUSDTUSDT,0.13908951,0.13929800517549,2025-11-23 10:45:00,2025-11-23 12:30:00,1.39410203118095,894.6611984512786,Smart Break-even,0 days 01:45:00,70.90919808078571,38.69064848428366,3.316051764786473,0.0015823922894341
TAOUSDTUSDT,288.13399499999997,288.565907858505,2025-11-23 12:45:00,2025-11-23 12:45:00,1.2758514124066778,895.2983255126813,Smart Break-even,0 days 00:00:00,69.53780769769125,32.03848185916017,2.824947439944096,0.0012500434042849
TAOUSDTUSDT,287.77381499999996,288.20518794868497,2025-11-23 13:00:00,2025-11-23 14:00:00,1.2767600015603215,895.2971834139981,Smart Break-even,0 days 01:00:00,67.95310111996432,33.05242134703029,2.9185075191709156,0.0097698351992212
