symbol,entry_price,exit_price,entry_time,exit_time,pnl,reason,duration,rsi,adx,volume_ratio,upper_wick_ratio
VIRTUALUSDTUSDT,1.7295643499999998,1.7044977738754499,2025-05-01 10:30:00,2025-05-01 10:30:00,-2.1493461140577255,Stop Loss,0 days 00:00:00,75.37728814684772,34.336293091511784,4.441590639359113,0.0021983107717227965
VIRTUALUSDTUSDT,1.7630811,1.7375287656176999,2025-05-01 11:15:00,2025-05-01 11:15:00,-2.100297427151787,Stop Loss,0 days 00:00:00,75.38428266226272,38.25285448068344,4.086427200276799,0.0016457635775494596
INJUSDTUSDT,10.481238000000001,10.329333417666001,2025-05-01 12:30:00,2025-05-01 13:30:00,-2.052368045169065,Stop Loss,0 days 01:00:00,66.74768895795569,52.016185977381944,2.657842278204902,0.012982054219167547
APTUSDTUSDT,5.55207465,5.47160843209755,2025-05-01 11:45:00,2025-05-01 13:45:00,-2.0538343365494818,Stop Loss,0 days 02:00:00,77.66438776966467,40.169437021345,2.981229267272912,0.000648707090728823
AIXBTUSDTUSDT,0.20168079,0.21125459486250003,2025-05-01 14:15:00,2025-05-01 14:15:00,6.1450531698803,Smart Trailing (Max 101%),0 days 00:00:00,70.76502285058396,39.483537063501046,3.4606472353237137,0.012308914036132669
AAVEUSDTUSDT,174.99745499999997,175.99838229643808,2025-05-01 13:45:00,2025-05-01 14:30:00,0.6986603773164298,Smart Trailing (Max 39%),0 days 00:45:00,67.80464866435575,47.118724448439096,3.4273720890906705,0.004116638078902223
AIXBTUSDTUSDT,0.20906448,0.21359948880159557,2025-05-01 14:30:00,2025-05-01 14:30:00,2.9564623583683076,Smart Trailing (Max 52%),0 days 00:00:00,75.93992873314842,40.92107857579102,4.422457782428918,0.013779245012200342
AIXBTUSDTUSDT,0.21291640499999998,0.20983060754233498,2025-05-01 14:45:00,2025-05-01 14:45:00,-2.168474050239979,Stop Loss,0 days 00:00:00,78.4789948110362,44.968985529179314,3.0960539777200937,0.007941356139279156
LTCUSDTUSDT,88.01398499999999,89.11057937777831,2025-05-01 15:30:00,2025-05-01 16:15:00,1.6901695755875084,Smart Trailing (Max 71%),0 days 00:45:00,71.04651646137589,35.77422916403458,3.136759904995892,0.002046384720327499
SUSDTUSDT,0.5978988,0.5892334526915999,2025-05-01 16:45:00,2025-05-01 16:45:00,-2.1536595722517777,Stop Loss,0 days 00:00:00,76.61180852302924,53.413299481115736,6.443339373380618,0.009705488621151318
TURBOUSDTUSDT,0.0049287631499999995,0.00506569258665,2025-05-01 22:00:00,2025-05-01 22:00:00,3.832069552369845,Smart Trailing (Max 147%),0 days 00:00:00,80.10386259550492,31.852139940356867,4.5465735248610954,0.0058054563169860655
