Symbol,Open Time,Close Time,Investment,Final Amount,Leverage,Status,Entry Price,Exit Price,Qty
ACEUSDT,2025-12-24 15:30:01,2025-12-24 15:33:16,0.10,0.03,50,普通止损,0.284,0.280024,17.81
MOVEUSDT,2025-12-24 16:45:01,2025-12-24 16:48:00,0.12,0.04,50,保本止损,0.0365,0.035989,164.0
ENSOUSDT,2025-12-24 17:15:02,2025-12-24 17:17:56,0.12,0.04,50,普通止损,0.698,0.688228,8.6
DOTUSDT,2025-12-28 04:59:43,2025-12-28 04:59:46,0.28,0.65,50,普通止损,1.797,1.844,7.8
DOTUSDT,2025-12-28 04:59:43,2025-12-28 04:59:47,0.28,0.65,50,普通止损,1.797,1.844,7.8
DOTUSDT,2025-12-28 04:59:43,2025-12-28 04:59:47,0.28,0.65,50,普通止损,1.797,1.844,7.8
DOTUSDT,2025-12-28 04:59:43,2025-12-28 04:59:47,0.28,0.65,50,普通止损,1.797,1.844,7.8
DOTUSDT,2025-12-28 04:59:43,2025-12-28 04:59:51,0.28,0.65,50,普通止损,1.797,1.844,7.8
DOTUSDT,2025-12-28 04:59:43,2025-12-28 04:59:55,0.28,0.65,50,普通止损,1.797,1.844,7.8
DOTUSDT,2025-12-28 04:59:43,2025-12-28 05:00:04,0.28,0.65,50,普通止损,1.797,1.844,7.8
DOTUSDT,2025-12-28 04:59:43,2025-12-28 05:00:04,0.28,0.65,50,普通止损,1.797,1.844,7.8
DOTUSDT,2025-12-28 04:59:43,2025-12-28 05:00:05,0.28,0.65,50,普通止损,1.797,1.844,7.8
DOTUSDT,2025-12-28 04:59:43,2025-12-28 05:00:05,0.28,0.65,50,普通止损,1.797,1.844,7.8
DOTUSDT,2025-12-28 04:59:43,2025-12-28 05:00:06,0.28,0.65,50,普通止损,1.797,1.844,7.8
DOTUSDT,2025-12-28 04:59:43,2025-12-28 05:00:06,0.28,0.65,50,普通止损,1.797,1.844,7.8
DOTUSDT,2025-12-28 04:59:43,2025-12-28 05:00:06,0.28,0.65,50,普通止损,1.797,1.844,7.8
DOTUSDT,2025-12-28 04:59:43,2025-12-28 05:00:07,0.28,0.65,50,普通止损,1.797,1.844,7.8
DOTUSDT,2025-12-28 04:59:43,2025-12-28 05:00:07,0.28,0.65,50,普通止损,1.797,1.844,7.8
DOTUSDT,2025-12-28 04:59:43,2025-12-28 05:00:11,0.28,0.65,50,普通止损,1.797,1.844,7.8
DOTUSDT,2025-12-28 04:59:43,2025-12-28 05:00:12,0.28,0.65,50,普通止损,1.797,1.844,7.8
DOTUSDT,2025-12-28 04:59:43,2025-12-28 05:00:13,0.28,0.65,50,普通止损,1.797,1.844,7.8
DOTUSDT,2025-12-28 04:59:43,2025-12-28 05:00:13,0.28,0.65,50,普通止损,1.797,1.844,7.8
DOTUSDT,2025-12-28 04:59:43,2025-12-28 05:00:14,0.28,0.65,50,普通止损,1.797,1.844,7.8
DOTUSDT,2025-12-28 04:59:43,2025-12-28 05:00:15,0.28,0.65,50,普通止损,1.797,1.844,7.8
DOTUSDT,2025-12-28 04:59:43,2025-12-28 05:00:18,0.28,0.65,50,普通止损,1.797,1.844,7.8
DOTUSDT,2025-12-28 04:59:43,2025-12-28 05:00:18,0.28,0.65,50,普通止损,1.797,1.844,7.8
DOTUSDT,2025-12-28 04:59:43,2025-12-28 05:00:20,0.28,0.65,50,普通止损,1.797,1.844,7.8
DOTUSDT,2025-12-28 04:59:43,2025-12-28 05:00:20,0.28,0.65,50,普通止损,1.797,1.844,7.8
DOTUSDT,2025-12-28 04:59:43,2025-12-28 05:00:21,0.28,0.65,50,普通止损,1.797,1.844,7.8
DOTUSDT,2025-12-28 04:59:43,2025-12-28 05:00:22,0.28,0.65,50,普通止损,1.797,1.844,7.8
DOTUSDT,2025-12-28 04:59:43,2025-12-28 05:00:24,0.28,0.65,50,普通止损,1.797,1.844,7.8
DOTUSDT,2025-12-28 04:59:43,2025-12-28 05:00:26,0.28,0.65,50,普通止损,1.797,1.844,7.8
DOTUSDT,2025-12-28 04:59:43,2025-12-28 05:00:29,0.28,0.65,50,普通止损,1.797,1.844,7.8
DOTUSDT,2025-12-28 04:59:43,2025-12-28 05:00:30,0.28,0.65,50,普通止损,1.797,1.844,7.8
DOTUSDT,2025-12-28 04:59:43,2025-12-28 05:00:30,0.28,0.65,50,普通止损,1.797,1.844,7.8
DOTUSDT,2025-12-28 04:59:43,2025-12-28 05:00:31,0.28,0.65,50,普通止损,1.797,1.844,7.8
DOTUSDT,2025-12-28 04:59:43,2025-12-28 05:00:33,0.28,0.65,50,普通止损,1.797,1.844,7.8
DOTUSDT,2025-12-28 04:59:43,2025-12-28 05:00:34,0.28,0.65,50,普通止损,1.797,1.844,7.8
DOTUSDT,2025-12-28 04:59:43,2025-12-28 05:00:36,0.28,0.65,50,普通止损,1.797,1.844,7.8
DOTUSDT,2025-12-28 04:59:43,2025-12-28 05:00:37,0.28,0.65,50,普通止损,1.797,1.844,7.8
DOTUSDT,2025-12-28 04:59:43,2025-12-28 05:00:38,0.28,0.65,50,普通止损,1.797,1.844,7.8
DOTUSDT,2025-12-28 04:59:43,2025-12-28 05:00:38,0.28,0.65,50,普通止损,1.797,1.844,7.8
DOTUSDT,2025-12-28 04:59:43,2025-12-28 05:00:39,0.28,0.65,50,普通止损,1.797,1.844,7.8
DOTUSDT,2025-12-28 04:59:43,2025-12-28 05:00:41,0.28,0.65,50,普通止损,1.797,1.844,7.8
DOTUSDT,2025-12-28 04:59:43,2025-12-28 05:00:43,0.28,0.65,50,普通止损,1.797,1.844,7.8
DOTUSDT,2025-12-28 04:59:43,2025-12-28 05:00:43,0.28,0.65,50,普通止损,1.797,1.844,7.8
DOTUSDT,2025-12-28 04:59:43,2025-12-28 05:00:45,0.28,0.65,50,普通止损,1.797,1.844,7.8
DOTUSDT,2025-12-28 04:59:43,2025-12-28 05:00:46,0.28,0.65,50,普通止损,1.797,1.844,7.8
DOTUSDT,2025-12-28 04:59:43,2025-12-28 05:00:46,0.28,0.65,50,普通止损,1.797,1.844,7.8
DOTUSDT,2025-12-28 04:59:43,2025-12-28 05:00:47,0.28,0.65,50,普通止损,1.797,1.844,7.8
DOTUSDT,2025-12-28 04:59:43,2025-12-28 05:00:48,0.28,0.65,50,普通止损,1.797,1.844,7.8
DOTUSDT,2025-12-28 04:59:43,2025-12-28 05:00:48,0.28,0.65,50,普通止损,1.797,1.844,7.8
DOTUSDT,2025-12-28 04:59:43,2025-12-28 05:00:49,0.28,0.65,50,普通止损,1.797,1.844,7.8
DOTUSDT,2025-12-28 04:59:43,2025-12-28 05:00:51,0.28,0.65,50,普通止损,1.797,1.844,7.8
DOTUSDT,2025-12-28 04:59:43,2025-12-28 05:00:54,0.28,0.65,50,普通止损,1.797,1.844,7.8
DOTUSDT,2025-12-28 04:59:43,2025-12-28 05:00:55,0.28,0.65,50,普通止损,1.797,1.844,7.8
DOTUSDT,2025-12-28 04:59:43,2025-12-28 05:00:56,0.28,0.65,50,普通止损,1.797,1.844,7.8
DOTUSDT,2025-12-28 04:59:43,2025-12-28 05:00:56,0.28,0.65,50,普通止损,1.797,1.844,7.8
DOTUSDT,2025-12-28 04:59:43,2025-12-28 05:00:57,0.28,0.65,50,普通止损,1.797,1.844,7.8
DOTUSDT,2025-12-28 04:59:43,2025-12-28 05:00:58,0.28,0.65,50,普通止损,1.797,1.844,7.8
DOTUSDT,2025-12-28 04:59:43,2025-12-28 05:00:58,0.28,0.65,50,普通止损,1.797,1.844,7.8
DOTUSDT,2025-12-28 04:59:43,2025-12-28 05:00:59,0.28,0.65,50,普通止损,1.797,1.844,7.8
DOTUSDT,2025-12-28 04:59:43,2025-12-28 05:01:03,0.28,0.65,50,普通止损,1.797,1.844,7.8
RVVUSDT,2025-12-28 06:45:02,2025-12-28 06:55:09,2.38,0.71,50,普通止损,0.004976,0.0049063,23897.0
DOTUSDT,2025-12-28 07:15:03,2025-12-28 07:29:04,2.33,3.80,50,保本止损,1.895,1.919,61.4
DOTUSDT,2025-12-28 07:30:02,2025-12-28 07:59:02,2.32,3.73,50,移动止盈[止损利润率33%],1.889,1.912,61.3
RVVUSDT,2025-12-28 08:15:02,2025-12-28 08:29:03,2.35,4.64,50,移动止盈[止损利润率47%],0.00542,0.0055258,21665.0
NIGHTUSDT,2025-12-28 08:45:02,2025-12-28 08:54:25,2.37,0.71,50,普通止损,0.09076,0.0894894,1307.0
GASUSDT,2025-12-28 09:15:02,2025-12-28 09:22:36,2.32,0.70,50,普通止损,2.201,2.170186,52.7
RVVUSDT,2025-12-28 09:30:03,2025-12-28 09:34:48,2.26,0.68,50,普通止损,0.005909,0.0058263,19144.0
ZKPUSDT,2025-12-28 09:30:03,2025-12-28 09:44:04,2.26,2.49,50,保本止损,0.16449,0.164819,687.0
ATUSDT,2025-12-28 13:15:02,2025-12-28 13:20:10,2.18,0.65,50,普通止损,0.1741,0.1716626,627.0
ONTUSDT,2025-12-28 14:15:04,2025-12-28 14:29:03,2.13,2.94,50,普通止损,0.0662,0.0667,1609.3
ONTUSDT,2025-12-28 15:00:08,2025-12-28 15:09:33,2.15,0.57,50,普通止损,0.0679,0.0669,1581.2
UNIUSDT,2025-12-28 14:57:10,2025-12-28 15:14:05,2.15,3.08,50,普通止损,6.322,6.377,17.0
STORJUSDT,2025-12-28 15:45:02,2025-12-28 15:59:03,2.13,4.60,50,移动止盈[止损利润率54%],0.164,0.1678,650.0
STORJUSDT,2025-12-28 16:00:01,2025-12-28 16:03:32,2.17,0.67,50,普通止损,0.1666,0.1643,650.0
SQDUSDT,2025-12-28 22:15:08,2025-12-28 22:29:06,2.04,2.56,50,普通止损,0.07473,0.07511,1364.0
