Symbol,Entry,Exit,Realized_ROI,Max_ROE,Efficiency,Callback_Abs,Max_Bucket
BTCUSDT,71218.2913,72458.875,34.83890661667708,93.0,0.3746118991040546,58.16109338332292,50-100%
BTCUSDT,72408.9864,73218.6767,22.364359460223078,65.0,0.3440670686188166,42.63564053977692,50-100%
BTCUSDT,79213.4869,79710.6484,12.552445788117478,42.0,0.29886775685993994,29.447554211882522,30-50%
BTCUSDT,83006.0823,84244.1901,29.831736800328727,82.0,0.3638016682966918,52.16826319967127,50-100%
BTCUSDT,83924.8414,84811.5619,21.13129998718105,62.0,0.3408274191480814,40.86870001281895,50-100%
BTCUSDT,89507.7315,91098.7162,35.5496597520182,95.0,0.3742069447580863,59.4503402479818,50-100%
BTCUSDT,90879.7171,91727.4737,18.65667339318793,56.0,0.333154882021213,37.34332660681207,50-100%
BTCUSDT,91608.7815,92651.0677,22.755159121945145,65.0,0.3500793711068484,42.24484087805486,50-100%
BTCUSDT,97639.9956,98224.1274,11.965010780889525,41.0,0.2918295312412079,29.034989219110475,30-50%
BTCUSDT,94825.389,95729.7731,19.074724808142054,57.0,0.33464429487968517,37.92527519185795,50-100%
IOUSDT,3.4547,3.4702,8.97328277419185,22.0,0.40787648973599316,13.02671722580815,15-30%
1000SATSUSDT,0.0003,0.0003,0.0,145.0,0.0,145.0,100-200%
ZROUSDT,5.5299,5.7572,82.20763485777339,89.0,0.9236812905367796,6.792365142226615,50-100%
ZROUSDT,5.6944,6.1354,154.88901376791227,160.0,0.9680563360494517,5.1109862320877255,100-200%
ZROUSDT,6.3368,6.6842,109.64524681227101,115.0,0.9534369288023566,5.3547531877289885,100-200%
WUSDT,0.3418,0.3514,56.17320070216499,65.0,0.8642030877256153,8.82679929783501,50-100%
WUSDT,0.3478,0.3636,90.85681426106946,97.0,0.936668188258448,6.143185738930541,50-100%
WUSDT,0.3557,0.3679,68.59713241495635,76.0,0.9025938475652151,7.402867585043651,50-100%
APEUSDT,1.5217,1.5391,22.869159492672484,35.0,0.6534045569334995,12.130840507327516,30-50%
HBARUSDT,0.1787,0.1909,136.54168998321194,347.0,0.3934919019689105,210.45831001678806,200-500%
BRETTUSDT,0.2141,0.2189,44.83886034563287,54.0,0.8303492656598679,9.161139654367133,50-100%
BRETTUSDT,0.2184,0.2197,11.904761904761864,25.0,0.47619047619047455,13.095238095238136,15-30%
HBARUSDT,0.1892,0.1966,78.22410147991532,200.0,0.3911205073995766,121.77589852008468,100-200%
CHZUSDT,0.1059,0.1071,22.662889518413724,35.0,0.6475111290975349,12.337110481586276,30-50%
HBARUSDT,0.1938,0.1964,26.83178534571714,75.0,0.3577571379428952,48.16821465428286,50-100%
SCRTUSDT,0.7726,0.8112,99.92234015014259,105.0,0.9516413347632627,5.077659849857412,100-200%
SCRTUSDT,0.7987,0.8213,56.59196193814966,65.0,0.8706455682792256,8.408038061850341,50-100%
HBARUSDT,0.2033,0.2086,52.139695031972444,136.0,0.3833801105292092,83.86030496802755,100-200%
IOTAUSDT,0.282,0.2966,103.54609929078016,108.0,0.9587601786183348,4.4539007092198375,100-200%
ALGOUSDT,0.4936,0.5145,84.6839546191247,216.0,0.3920553454589107,131.3160453808753,200-500%
IOTAUSDT,0.296,0.3003,29.054054054054234,40.0,0.7263513513513559,10.945945945945766,30-50%
CHZUSDT,0.1065,0.1086,39.43661971830995,51.0,0.7732670533001951,11.563380281690051,50-100%
IOTAUSDT,0.2954,0.3042,59.580230196344154,68.0,0.8761798558285905,8.419769803655846,50-100%
FLOWUSDT,1.0105,1.0232,25.136071251855828,37.0,0.6793532770771845,11.863928748144172,30-50%
APEUSDT,1.5569,1.5945,48.3011111824781,58.0,0.8327777790082431,9.698888817521897,50-100%
JUPUSDT,1.2027,1.2083,9.312380477259213,22.0,0.4232900216936006,12.687619522740787,15-30%
APEUSDT,1.5872,1.6303,54.30947580645179,63.0,0.8620551715309809,8.690524193548207,50-100%
CFXUSDT,0.2189,0.2255,60.301507537688394,68.0,0.8867868755542411,7.698492462311606,50-100%
ZROUSDT,6.4933,6.7591,81.86900343430936,88.0,0.9303295844807882,6.130996565690637,50-100%
ZKUSDT,0.214,0.2247,100.00000000000013,106.0,0.9433962264150956,5.999999999999872,100-200%
CFXUSDT,0.2245,0.2269,21.380846325166907,34.0,0.6288484213284384,12.619153674833093,30-50%
ZKUSDT,0.2195,0.2243,43.73576309794988,54.0,0.8099215388509237,10.264236902050122,50-100%
ALTUSDT,0.1677,0.1703,31.00775193798472,42.0,0.7382798080472552,10.992248062015278,30-50%
1000PEPEUSDT,0.0226,0.023,35.39823008849567,90.0,0.3933136676499519,54.60176991150433,50-100%
LTCUSDT,108.8444,109.556,13.075546376295048,43.0,0.3040824738673267,29.924453623704952,30-50%
NEIROUSDT,0.002,0.002,0.0,238.0,0.0,238.0,200-500%
NEIROUSDT,0.002,0.0021,99.99999999999983,348.0,0.28735632183907994,248.00000000000017,200-500%
1000BONKUSDT,0.0479,0.048,4.175365344467761,24.0,0.17397355601949005,19.82463465553224,15-30%
PEOPLEUSDT,0.0685,0.0689,11.678832116788248,23.0,0.507775309425576,11.321167883211752,15-30%
CFXUSDT,0.2315,0.2338,19.870410367170592,32.0,0.620950323974081,12.129589632829408,30-50%
TURBOUSDT,0.0083,0.0084,24.09638554216853,33.0,0.7301935012778342,8.90361445783147,30-50%
BLURUSDT,0.3825,0.3869,23.006535947712496,35.0,0.6573295985060713,11.993464052287504,30-50%
NEIROUSDT,0.0021,0.0021,0.0,110.0,0.0,110.0,100-200%
BANUSDT,0.1593,0.163,46.453232893910965,57.0,0.8149689981387889,10.546767106089035,50-100%
BLURUSDT,0.386,0.4082,115.02590673575128,121.0,0.9506273283946387,5.974093264248722,100-200%
BLURUSDT,0.4017,0.4117,49.788399302962446,59.0,0.8438711746264821,9.211600697037554,50-100%
LTCUSDT,117.1285,119.2844,36.812560563825244,97.0,0.3795109336476829,60.187439436174756,50-100%
ADAUSDT,1.1373,1.1633,45.72232480436125,120.0,0.38101937336967706,74.27767519563875,100-200%
IOTAUSDT,0.3395,0.3541,86.00883652430045,92.0,0.934878657872831,5.991163475699551,50-100%
ETCUSDT,33.8009,33.9158,6.798635539290296,29.0,0.2344357082513895,22.201364460709705,15-30%
BCHUSDT,546.203,562.3071,58.967453492566015,153.0,0.3854081927618694,94.03254650743398,100-200%
ETCUSDT,34.2451,34.576,19.325392537910517,58.0,0.3331964230674227,38.67460746208948,50-100%
VETUSDT,0.0481,0.0497,66.52806652806672,73.0,0.9113433770968044,6.4719334719332835,50-100%
IOTAUSDT,0.3604,0.3705,56.04883462819089,65.0,0.862289763510629,8.951165371809111,50-100%
VETUSDT,0.0495,0.0513,72.72727272727258,82.0,0.88691796008869,9.272727272727423,50-100%
ARUSDT,26.6243,26.8345,15.79008649992652,28.0,0.5639316607116615,12.20991350007348,15-30%
SSVUSDT,32.2201,33.0772,53.20281439225797,62.0,0.858109909552548,8.79718560774203,50-100%
SSVUSDT,32.8964,33.2061,18.828808015466702,31.0,0.6073809037247323,12.171191984533298,30-50%
QNTUSDT,123.8519,131.8196,128.66496194244914,134.0,0.9601862831526056,5.335038057550861,100-200%
XLMUSDT,0.5642,0.5823,64.16164480680611,165.0,0.38885845337458247,100.83835519319389,100-200%
QNTUSDT,130.025,133.0422,46.409536627571654,56.0,0.8287417254923509,9.590463372428346,50-100%
XLMUSDT,0.5762,0.5834,24.991322457479985,70.0,0.35701889224971406,45.00867754252002,50-100%
WOOUSDT,0.3212,0.3251,24.283935242839444,36.0,0.6745537567455401,11.716064757160556,30-50%
QNTUSDT,131.1355,133.7924,40.521445375203186,51.0,0.7945381446118271,10.478554624796814,50-100%
ZILUSDT,0.0283,0.0285,14.13427561837472,28.0,0.5047955577990971,13.86572438162528,15-30%
ZECUSDT,71.2456,75.4409,117.7700798365093,123.0,0.9574803238740593,5.2299201634907035,100-200%
FTMUSDT,1.1654,1.1956,51.827698644242325,135.0,0.3839088788462394,83.17230135575767,100-200%
ONDOUSDT,1.3733,1.3974,35.09793927037066,46.0,0.7629986797906665,10.90206072962934,30-50%
ONDOUSDT,1.3823,1.3936,16.349562323663264,29.0,0.5637780111608022,12.650437676336736,15-30%
ZRXUSDT,0.6138,0.6269,42.68491365265559,53.0,0.8053757292953885,10.315086347344412,50-100%
PNUTUSDT,1.2987,1.3277,44.66004466004487,117.0,0.3817097834191869,72.33995533995514,100-200%
ONDOUSDT,1.4509,1.4969,63.40891860224662,72.0,0.8806794250312031,8.591081397753378,50-100%
SANDUSDT,0.7131,0.8083,267.003225354088,673.0,0.3967358474800713,405.996774645912,>500%
MANAUSDT,0.6731,0.7049,94.48818897637777,100.0,0.9448818897637777,5.511811023622229,50-100%
TRXUSDT,0.2215,0.2253,34.31151241534987,45.0,0.7624780536744414,10.688487584650133,30-50%
HBARUSDT,0.327,0.3546,168.80733944954133,427.0,0.39533334765700545,258.19266055045864,200-500%
CHZUSDT,0.1191,0.1218,45.34005037783389,55.0,0.8243645523242525,9.65994962216611,50-100%
GALAUSDT,0.0469,0.0485,68.23027718550124,177.0,0.38548179200848154,108.76972281449876,100-200%
AXSUSDT,9.4307,9.8431,87.45904333718597,93.0,0.9404198208299567,5.540956662814025,50-100%
HBARUSDT,0.3444,0.3646,117.30545876887336,299.0,0.39232594905977713,181.69454123112664,200-500%
SANDUSDT,0.8507,0.8773,62.53673445397898,162.0,0.3860292250245616,99.46326554602102,100-200%
GALAUSDT,0.0479,0.0487,33.402922755741216,90.0,0.3711435861749024,56.597077244258784,50-100%
ADAUSDT,1.2877,1.2973,14.910305195309203,48.0,0.3106313582356084,33.089694804690794,30-50%
POLYXUSDT,0.4138,0.4318,86.99855002416635,93.0,0.9354682798297457,6.001449975833651,50-100%
ZILUSDT,0.0334,0.034,35.92814371257505,45.0,0.7984031936127789,9.07185628742495,30-50%
XVGUSDT,0.0132,0.0149,257.57575757575756,626.0,0.41146287152676925,368.42424242424244,>500%
APEUSDT,1.6408,1.6713,37.176986835689874,48.0,0.7745205590768723,10.823013164310126,30-50%
XVGUSDT,0.0149,0.0159,134.2281879194632,329.0,0.40798841312906753,194.7718120805368,200-500%
IOTAUSDT,0.4734,0.5173,185.4668356569497,469.0,0.39545167517473284,283.5331643430503,200-500%
ZILUSDT,0.0356,0.0376,112.35955056179785,118.0,0.9521995810321852,5.640449438202154,100-200%
PYTHUSDT,0.5426,0.5477,18.798378179137462,31.0,0.6063992961012085,12.201621820862538,30-50%
APEUSDT,1.7062,1.7361,35.04864611417189,46.0,0.7619270894385193,10.951353885828112,30-50%
BIGTIMEUSDT,0.1957,0.2101,147.16402657128253,152.0,0.968184385337385,4.835973428717466,100-200%
IOTXUSDT,0.0641,0.0663,68.64274570982819,77.0,0.8914642299977688,8.35725429017181,50-100%
CRVUSDT,0.8424,0.8504,18.993352326685674,57.0,0.3332167074857136,38.006647673314326,50-100%
IOTAUSDT,0.5546,0.5726,64.91164803461959,168.0,0.38637885734892613,103.08835196538041,100-200%
CRVUSDT,0.9085,0.9471,84.97523390203649,218.0,0.3897946509267729,133.0247660979635,200-500%
SUIUSDT,3.7521,3.8367,45.09474694171264,118.0,0.38215887238739527,72.90525305828736,100-200%
1000LUNCUSDT,0.1546,0.1606,77.61966364812427,85.0,0.9131725135073444,7.380336351875727,50-100%
TRXUSDT,0.2533,0.2878,272.40426371891016,278.0,0.9798714522262956,5.595736281089842,200-500%
CAKEUSDT,3.3836,3.4561,42.85376522047537,53.0,0.8085616079334975,10.146234779524633,50-100%
APEUSDT,1.8996,2.0731,182.67003579701014,188.0,0.9716491265798411,5.329964202989856,100-200%
NEOUSDT,22.1831,22.6375,40.9681243829762,51.0,0.803296556528945,10.0318756170238,50-100%
QTUMUSDT,5.0275,5.1744,58.43858776728015,67.0,0.872217727869853,8.561412232719853,50-100%
XMRUSDT,197.9189,208.3279,105.18449728651476,110.0,0.9562227026046796,4.815502713485245,100-200%
QTUMUSDT,5.1266,5.2925,64.72125775367714,73.0,0.88659257196818,8.278742246322864,50-100%
ONTUSDT,0.3609,0.3745,75.36713771127737,83.0,0.9080378037503297,7.6328622887226345,50-100%
NEOUSDT,23.5618,26.2113,224.89792800210506,230.0,0.977817078270022,5.102071997894939,200-500%
QTUMUSDT,5.2516,5.5242,103.81597989184273,109.0,0.95244018249397,5.18402010815727,100-200%
ONTUSDT,0.3745,0.3913,89.7196261682242,96.0,0.9345794392523353,6.280373831775805,50-100%
IDUSDT,0.6556,0.6771,65.58877364246516,73.0,0.8984763512666459,7.411226357534844,50-100%
CRVUSDT,1.0375,1.1019,124.14457831325304,316.0,0.392862589598902,191.85542168674698,200-500%
CRVUSDT,1.0745,1.085,19.54397394136799,58.0,0.33696506795462056,38.456026058632006,50-100%
TAOUSDT,688.6441,692.5416,11.319344782014502,24.0,0.4716393659172709,12.680655217985498,15-30%
COMPUSDT,96.3481,97.433,22.52042333995179,34.0,0.6623653923515233,11.47957666004821,30-50%
COMPUSDT,97.3587,98.8081,29.77443207438056,41.0,0.7262056603507454,11.22556792561944,30-50%
CAKEUSDT,3.8416,4.4042,292.8987921699293,299.0,0.9795946226419041,6.101207830070678,200-500%
LUNA2USDT,0.6715,0.748,227.84810126582283,233.0,0.9778888466344328,5.151898734177166,200-500%
1000LUNCUSDT,0.1728,0.1743,17.36111111111113,30.0,0.5787037037037043,12.638888888888872,15-30%
LUNA2USDT,0.7204,0.7941,204.60855080510822,210.0,0.9743264324052773,5.391449194891777,200-500%
COMPUSDT,106.3131,111.5804,99.09032847316072,104.0,0.9527916199342378,4.909671526839276,100-200%
LUNA2USDT,0.7724,0.785,32.62558259968942,44.0,0.7414905136293051,11.374417400310577,30-50%
CHZUSDT,0.1363,0.1381,26.41232575201755,38.0,0.6950612040004619,11.587674247982449,30-50%
SANDUSDT,0.9029,0.967,141.98693100011062,361.0,0.3933155983382566,219.01306899988938,200-500%
SANDUSDT,0.9276,0.9788,110.39241052177667,281.0,0.39285555345827994,170.60758947822333,200-500%
APEUSDT,1.9763,2.0701,94.92485958609534,243.0,0.39063728224730593,148.07514041390465,200-500%
CHZUSDT,0.1356,0.1379,33.92330383480821,45.0,0.7538511963290713,11.076696165191791,30-50%
MANAUSDT,0.7778,0.819,105.93983029056288,111.0,0.9544128855005665,5.060169709437119,100-200%
KSMUSDT,48.4742,48.7404,10.983162176993028,24.0,0.4576317573747095,13.016837823006972,15-30%
ENAUSDT,0.9474,0.9606,27.86573780873968,77.0,0.3618926988148011,49.13426219126032,50-100%
ETCUSDT,37.8739,38.8741,52.81737555414148,137.0,0.38552828871636113,84.18262444585852,100-200%
UNIUSDT,16.1891,16.3161,15.689568907474644,49.0,0.32019528382601314,33.310431092525356,30-50%
BSVUSDT,83.3917,84.7348,32.21183882808498,43.0,0.7491125308856972,10.788161171915021,30-50%
1000SHIBUSDT,0.0322,0.033,49.68944099378895,127.0,0.39125544089597597,77.31055900621105,100-200%
BTCUSDT,101591.4703,104525.7696,57.76664697016397,150.0,0.3851109798010931,92.23335302983602,100-200%
RENDERUSDT,10.9055,11.8214,167.970290220531,173.0,0.9709265330666532,5.029709779468988,100-200%
YFIUSDT,11409.702,11856.3815,78.29818868187797,85.0,0.9211551609632703,6.701811318122026,50-100%
YFIUSDT,11783.889,12248.4077,78.83962586545078,86.0,0.9167398356447766,7.160374134549215,50-100%
YFIUSDT,12081.0375,12445.2016,60.286891750811954,69.0,0.8737230688523472,8.713108249188046,50-100%
SWELLUSDT,0.0522,0.0533,42.14559386973168,52.0,0.8104921898025322,9.854406130268323,50-100%
MORPHOUSDT,1.8775,1.9339,60.079893475366184,68.0,0.8835278452259733,7.920106524633816,50-100%
MORPHOUSDT,1.9336,1.9699,37.546545304095986,48.0,0.7822196938353331,10.453454695904014,30-50%
MORPHOUSDT,1.9533,1.9876,35.1200532432294,46.0,0.7634794183310739,10.8799467567706,30-50%
PNUTUSDT,1.3448,1.3531,12.34384295062459,42.0,0.2939010226339188,29.65615704937541,30-50%
TURBOUSDT,0.0089,0.0091,44.94382022471922,49.0,0.9172208209126371,4.056179775280782,30-50%
SUIUSDT,4.0188,4.2423,111.22723200955534,283.0,0.39302908837298706,171.77276799044466,200-500%
CETUSUSDT,0.4273,0.4375,47.74163351275445,57.0,0.8375725177676219,9.258366487245553,50-100%
SUIUSDT,4.1643,4.2511,41.687678601445725,109.0,0.3824557669857406,67.31232139855427,100-200%
ACTUSDT,0.5885,0.6246,122.68479184367041,128.0,0.9584749362786751,5.315208156329589,100-200%
SUIUSDT,4.3106,4.3892,36.46824108012796,97.0,0.37596124824874183,60.53175891987204,50-100%
CETUSUSDT,0.4389,0.4461,32.80929596719063,44.0,0.7456658174361507,11.190704032809371,30-50%
CETUSUSDT,0.4408,0.4635,102.99455535390199,108.0,0.9536532903139073,5.005444646098013,100-200%
WLDUSDT,3.8518,3.9098,30.115790020250415,82.0,0.36726573195427337,51.884209979749585,50-100%
WLDUSDT,3.8805,3.9447,33.08851952068034,89.0,0.3717811182098915,55.91148047931966,50-100%
1000000MOGUSDT,2.8272,2.9345,75.90548953027726,83.0,0.9145239702443044,7.094510469722735,50-100%
WLDUSDT,4.049,4.1958,72.51173129167687,186.0,0.38984801769718747,113.48826870832313,100-200%
ZKUSDT,0.2572,0.2612,31.104199066874056,42.0,0.740576168258906,10.895800933125944,30-50%
ZROUSDT,7.1433,7.3711,63.78004563717056,72.0,0.8858339671829244,8.21995436282944,50-100%
CRVUSDT,1.2146,1.2637,80.8496624403098,207.0,0.39057807942178646,126.1503375596902,200-500%
CRVUSDT,1.2376,1.2707,53.49062702003864,139.0,0.38482465482042183,85.50937297996137,100-200%
EIGENUSDT,4.6727,4.8584,79.48295418066633,86.0,0.9242203974496085,6.517045819333674,50-100%
YFIUSDT,13024.509,13861.26,128.4886823756658,134.0,0.958870763997506,5.511317624334197,100-200%
SUSHIUSDT,1.6238,1.7243,123.7837172065526,129.0,0.9595636992756015,5.216282793447405,100-200%
YFIUSDT,13971.9825,14348.1987,53.852944634020375,63.0,0.8548086449844504,9.147055365979625,50-100%
MKRUSDT,2272.9359,2307.7329,30.61854933964484,42.0,0.7290130795153533,11.38145066035516,30-50%
AAVEUSDT,278.7693,287.2553,60.88188333507306,69.0,0.882346135290914,8.118116664926937,50-100%
HBARUSDT,0.3228,0.331,50.8054522924414,132.0,0.38488979009425306,81.1945477075586,100-200%
LPTUSDT,23.4007,24.6123,103.55245783245806,109.0,0.9500225489216336,5.44754216754194,100-200%
ONEUSDT,0.0395,0.04,25.316455696202556,34.0,0.7446016381236046,8.683544303797444,30-50%
KASUSDT,0.1764,0.1778,15.873015873016014,28.0,0.5668934240362862,12.126984126983986,15-30%
SUSHIUSDT,1.8058,1.8547,54.15882157492518,63.0,0.8596638345226219,8.841178425074823,50-100%
AAVEUSDT,291.1255,296.693,38.248109492297964,101.0,0.37869415338908874,62.751890507702036,100-200%
DYDXUSDT,2.5693,2.5942,19.382711244307554,58.0,0.3341846766259923,38.61728875569244,50-100%
SUSHIUSDT,1.9575,2.0164,60.17879948914426,69.0,0.8721565143354241,8.82120051085574,50-100%
1MBABYDOGEUSDT,0.0027,0.003,222.22222222222214,236.0,0.9416195856873819,13.777777777777857,200-500%
TURBOUSDT,0.0097,0.0101,82.47422680412357,81.0,1.0182003309151058,-1.4742268041235747,50-100%
1000FLOKIUSDT,0.2457,0.2519,50.46805046805056,60.0,0.8411341744675094,9.531949531949437,50-100%
1000FLOKIUSDT,0.251,0.2586,60.557768924302756,69.0,0.877648824989895,8.442231075697244,50-100%
NEIROETHUSDT,0.0808,0.0854,113.86138613861402,118.0,0.9649270011746951,4.138613861385977,100-200%
TURBOUSDT,0.0105,0.0112,133.3333333333332,141.0,0.9456264775413702,7.666666666666799,100-200%
NEIROUSDT,0.0019,0.002,105.2631578947369,147.0,0.7160759040458293,41.736842105263094,100-200%
NEIROUSDT,0.002,0.002,0.0,190.0,0.0,190.0,100-200%
WIFUSDT,3.5837,3.6488,36.331166113235014,96.0,0.3784496470128647,59.668833886764986,50-100%
BOMEUSDT,0.0103,0.0107,77.66990291262123,86.0,0.9031384059607119,8.330097087378775,50-100%
TURBOUSDT,0.011,0.0114,72.72727272727292,82.0,0.8869179600886942,9.272727272727082,50-100%
1000FLOKIUSDT,0.2553,0.2646,72.85546415981179,80.0,0.9106933019976473,7.144535840188212,50-100%
1000SATSUSDT,0.0003,0.0003,0.0,60.0,0.0,60.0,50-100%
1000FLOKIUSDT,0.2629,0.2698,52.491441612780235,62.0,0.8466361550448425,9.508558387219765,50-100%
DOGSUSDT,0.0009,0.0009,0.0,42.0,0.0,42.0,30-50%
1000PEPEUSDT,0.0225,0.0229,35.55555555555565,96.0,0.37037037037037135,60.44444444444435,50-100%
BOMEUSDT,0.0109,0.0112,55.04587155963301,71.0,0.7752939656286338,15.954128440366993,50-100%
MEMEUSDT,0.018,0.0182,22.222222222222477,32.0,0.6944444444444524,9.777777777777523,30-50%
QNTUSDT,161.3306,164.2585,36.296895939146,47.0,0.7722743816839573,10.703104060854002,30-50%
QNTUSDT,166.4532,171.1842,56.84480682858598,66.0,0.8612849519482725,9.15519317141402,50-100%
1000PEPEUSDT,0.0234,0.0237,25.641025641025482,72.0,0.3561253561253539,46.35897435897452,50-100%
QNTUSDT,167.2236,170.9817,44.94700508779842,55.0,0.8172182743236077,10.052994912201576,50-100%
1000PEPEUSDT,0.0236,0.0239,25.423728813559464,75.0,0.3389830508474595,49.576271186440536,50-100%
1000PEPEUSDT,0.0243,0.0249,49.38271604938271,112.0,0.44091710758377417,62.61728395061729,100-200%
POPCATUSDT,1.5614,1.5689,9.606763161265611,23.0,0.4176853548376353,13.393236838734389,15-30%
JTOUSDT,3.7082,3.8119,55.93010085755887,65.0,0.8604630901162903,9.06989914244113,50-100%
1000PEPEUSDT,0.0259,0.0268,69.4980694980696,183.0,0.3797708715741508,113.5019305019304,100-200%
