symbol,id,orderId,side,price,qty,realizedPnl,quoteQty,commission,commissionAsset,time,positionSide,buyer,maker
PENGUUSDT,474637560,7709724626,BUY,0.0091130,1016,2.45295199,9.2588080,0.00462940,USDT,2025-12-22 02:26:22.963,BOTH,True,False
EPICUSDT,78692895,1071445545,BUY,0.783600,8.1,0,6.3471600,0.00317358,USDT,2025-12-23 20:30:01.094,BOTH,True,False
XPLUSDT,198559332,2434663504,BUY,0.1322000,48,0,6.3456000,0.00317280,USDT,2025-12-23 21:30:01.030,BOTH,True,False
AXSUSDT,632525515,13787974589,BUY,0.86800,7,0,6.07600,0.00303800,USDT,2025-12-23 21:45:01.125,BOTH,True,False
SNXUSDT,380059012,10751990430,BUY,0.437,14.6,0,6.3802,0.00319010,USDT,2025-12-23 23:00:01.428,BOTH,True,False
SNXUSDT,380061169,10752042306,BUY,0.436,14.6,0,6.3656,0.00318280,USDT,2025-12-23 23:15:00.739,BOTH,True,False
FUSDT,80572299,795451994,BUY,0.0080760,784,0,6.3315840,0.00316579,USDT,2025-12-23 23:45:01.263,BOTH,True,False
FUSDT,80577038,795514000,BUY,0.0080060,789,0,6.3167340,0.00315836,USDT,2025-12-24 00:00:01.631,BOTH,True,False
AVNTUSDT,256469296,1786293348,BUY,0.3166000,19,0,6.0154000,0.00300770,USDT,2025-12-24 00:00:01.691,BOTH,True,False
AVNTUSDT,256501073,1786598550,BUY,0.3205000,19,0,6.0895000,0.00304475,USDT,2025-12-24 00:15:00.851,BOTH,True,False
AVNTUSDT,256560339,1787071543,BUY,0.3346000,18,0,6.0228000,0.00301140,USDT,2025-12-24 00:30:01.485,BOTH,True,False
AVNTUSDT,256605364,1787450722,BUY,0.3368000,18,0,6.0624000,0.00303120,USDT,2025-12-24 00:45:00.870,BOTH,True,False
AVNTUSDT,256662554,1787862097,BUY,0.3454000,17,0,5.8718000,0.00293590,USDT,2025-12-24 01:00:00.923,BOTH,True,False
COWUSDT,123357433,1736112608,BUY,0.2253000,28,0,6.3084000,0.00315420,USDT,2025-12-24 01:15:01.476,BOTH,True,False
MMTUSDT,121249669,692657159,BUY,0.2227000,28,0,6.2356000,0.00311780,USDT,2025-12-24 01:15:01.489,BOTH,True,False
MMTUSDT,121254987,692698737,BUY,0.2256000,28,0,6.3168000,0.00315840,USDT,2025-12-24 01:30:00.783,BOTH,True,False
IMXUSDT,355751522,6993443092,BUY,0.2342,26,0,6.0892,0.00304460,USDT,2025-12-24 01:30:00.923,BOTH,True,False
XPLUSDT,198593298,2435658585,SELL,0.1285000,48,-0.17760000,6.1680000,0.00308400,USDT,2025-12-24 01:43:37.847,BOTH,False,False
FUSDT,80596650,795759797,SELL,0.0077640,284,-0.07863640,2.2049760,0.00110248,USDT,2025-12-24 01:43:39.327,BOTH,False,False
FUSDT,80596649,795759797,SELL,0.0077650,1289,-0.35562059,10.0090850,0.00500454,USDT,2025-12-24 01:43:39.327,BOTH,False,False
AVNTUSDT,256785346,1788807678,SELL,0.3472000,32,0.53918241,11.1104000,0.00555520,USDT,2025-12-24 01:43:41.202,BOTH,False,False
AVNTUSDT,256785345,1788807678,SELL,0.3472000,59,0.99411758,20.4848000,0.01024240,USDT,2025-12-24 01:43:41.202,BOTH,False,False
EPICUSDT,78783074,1072495790,SELL,0.704000,8.1,-0.64476000,5.7024000,0.00285120,USDT,2025-12-24 01:43:43.186,BOTH,False,False
COWUSDT,123360115,1736141278,SELL,0.2210000,25,-0.10750000,5.5250000,0.00276250,USDT,2025-12-24 01:43:45.054,BOTH,False,False
COWUSDT,123360116,1736141278,SELL,0.2210000,3,-0.01290000,0.6630000,0.00033150,USDT,2025-12-24 01:43:45.054,BOTH,False,False
IMXUSDT,355752477,6993459595,SELL,0.2328,26,-0.03640000,6.0528,0.00302640,USDT,2025-12-24 01:43:46.887,BOTH,False,False
AXSUSDT,632533482,13788249379,SELL,0.84700,7,-0.14700000,5.92900,0.00296450,USDT,2025-12-24 01:43:48.744,BOTH,False,False
MMTUSDT,121261684,692747988,SELL,0.2261000,56,0.10920000,12.6616000,0.00633080,USDT,2025-12-24 01:43:54.630,BOTH,False,False
SNXUSDT,380069028,10752319154,SELL,0.424,20.5,-0.25625000,8.6920,0.00434600,USDT,2025-12-24 01:43:54.630,BOTH,False,False
SNXUSDT,380069029,10752319154,SELL,0.424,8.7,-0.10875000,3.6888,0.00184440,USDT,2025-12-24 01:43:54.630,BOTH,False,False
MMTUSDT,121268286,692805739,BUY,0.2277000,25,0,5.6925000,0.00284625,USDT,2025-12-24 02:00:02.217,BOTH,True,False
IMXUSDT,355753872,6993478577,BUY,0.2341,24,0,5.6184,0.00280920,USDT,2025-12-24 02:00:02.655,BOTH,True,False
MMTUSDT,121272545,692844106,BUY,0.2270000,25,0,5.6750000,0.00283750,USDT,2025-12-24 02:15:01.831,BOTH,True,False
MMTUSDT,121273677,692851602,SELL,0.2241000,23,-0.07475000,5.1543000,0.00257714,USDT,2025-12-24 02:17:41.176,BOTH,False,False
MMTUSDT,121273676,692851602,SELL,0.2242000,27,-0.08505000,6.0534000,0.00302670,USDT,2025-12-24 02:17:41.176,BOTH,False,False
IMXUSDT,355756385,6993510587,SELL,0.2317,24,-0.05760000,5.5608,0.00278040,USDT,2025-12-24 02:21:43.703,BOTH,False,False
DOLOUSDT,89540546,1038407617,BUY,0.0383600,142,0,5.4471200,0.00272356,USDT,2025-12-24 03:00:02.676,BOTH,True,False
RAREUSDT,172487162,3869811444,BUY,0.0222900,245,0,5.4610500,0.00273052,USDT,2025-12-24 03:00:02.905,BOTH,True,False
DOLOUSDT,89544707,1038471906,SELL,0.0384900,142,0.01846000,5.4655800,0.00273279,USDT,2025-12-24 03:05:18.437,BOTH,False,False
DOLOUSDT,89552118,1038622175,BUY,0.0386100,142,0,5.4826200,0.00274131,USDT,2025-12-24 03:15:01.739,BOTH,True,False
DOLOUSDT,89556096,1038666460,SELL,0.0386900,142,0.01136000,5.4939800,0.00274699,USDT,2025-12-24 03:22:40.901,BOTH,False,False
RAREUSDT,172493838,3869853182,SELL,0.0222500,245,-0.00980000,5.4512500,0.00272562,USDT,2025-12-24 03:22:42.598,BOTH,False,False
DOLOUSDT,89574947,1039022767,BUY,0.0392400,140,0,5.4936000,0.00274680,USDT,2025-12-24 03:45:01.772,BOTH,True,False
DOLOUSDT,89580776,1039222261,SELL,0.0391800,140,-0.00840000,5.4852000,0.00274260,USDT,2025-12-24 03:54:38.121,BOTH,False,False
NOMUSDT,11231790,127657399,BUY,0.0075450,725,0,5.4701250,0.00273506,USDT,2025-12-24 04:15:02.774,BOTH,True,False
NOMUSDT,11233124,127665718,SELL,0.0074600,637,-0.05414500,4.7520200,0.00237601,USDT,2025-12-24 04:17:42.481,BOTH,False,False
NOMUSDT,11233123,127665718,SELL,0.0074600,88,-0.00748000,0.6564800,0.00032824,USDT,2025-12-24 04:17:42.481,BOTH,False,False
BANANAS31USDT,150314925,1481339044,BUY,0.0035230,1530,0,5.3901900,0.00269509,USDT,2025-12-24 05:15:01.748,BOTH,True,False
SKYUSDT,23507799,225544727,BUY,0.0666000,2,0,0.1332000,0.00006660,USDT,2025-12-24 05:15:01.947,BOTH,True,False
SKYUSDT,23507800,225544727,BUY,0.0666100,95,0,6.3279500,0.00316397,USDT,2025-12-24 05:15:01.947,BOTH,True,False
BANANAS31USDT,150315466,1481341662,SELL,0.0034770,1530,-0.07038000,5.3198100,0.00265990,USDT,2025-12-24 05:15:09.256,BOTH,False,False
RAREUSDT,172529680,3870137325,BUY,0.0224600,229,0,5.1433400,0.00257167,USDT,2025-12-24 05:30:01.565,BOTH,True,False
RAREUSDT,172530006,3870140517,SELL,0.0225100,229,0.01145000,5.1547900,0.00257739,USDT,2025-12-24 05:30:23.108,BOTH,False,False
RAREUSDT,172544099,3870242984,BUY,0.0227400,225,0,5.1165000,0.00255825,USDT,2025-12-24 05:45:05.248,BOTH,True,False
ACEUSDT,190152803,4348909347,BUY,0.275000,19.10,0,5.25250000,0.00262625,USDT,2025-12-24 05:45:06.316,BOTH,True,False
RAREUSDT,172544760,3870249574,SELL,0.0226100,225,-0.02925000,5.0872500,0.00254362,USDT,2025-12-24 05:46:40.636,BOTH,False,False
ACEUSDT,190154669,4348927575,SELL,0.276200,19.10,0.02292000,5.27542000,0.00263771,USDT,2025-12-24 05:51:50.413,BOTH,False,False
SKYUSDT,23512507,225608113,SELL,0.0659200,73,-0.05035494,4.8121600,0.00240608,USDT,2025-12-24 06:21:33.324,BOTH,False,False
SKYUSDT,23512508,225608113,SELL,0.0659100,24,-0.01679505,1.5818400,0.00079092,USDT,2025-12-24 06:21:33.324,BOTH,False,False
