Month,Total Trades,Wins,Losses,Win Rate (%),Total PnL ($),Avg PnL ($),Avg Win ($),Avg Loss ($),Max Win ($),Max Loss ($),Profit Factor,Start Balance ($),End Balance ($),Monthly Return (%)
2025-11,45,14,31,31.11,0.12,0.0,5.12,-2.31,14.21,-2.7,1.0,99.93,96.62,-3.31
2025-12,358,145,213,40.5,42.09,0.12,4.04,-2.55,31.37,-3.8,1.08,96.62,108.79,12.6
