symbol,side,entry_price,exit_price,entry_time,exit_time,pnl,reason,duration,balance_after,rsi,adx,vol
OMUSDTUSDT,LONG,0.321270555,0.31661438084638505,2025-06-02 00:15:00,2025-06-02 00:15:00,-2.140821928571422,Stop Loss,0 days 00:00:00,97.7877851964375,66.73034115618647,40.190707449614884,8.420609416949175
SYRUPUSDTUSDT,LONG,0.39735858,0.39795422051142004,2025-06-02 14:30:00,2025-06-02 14:30:00,0.1394524363803471,Smart Break-even,0 days 00:00:00,97.85742412157602,70.09622446601493,50.89428257740582,3.7937464913439367
HYPEUSDTUSDT,LONG,35.4647235,35.959219490453705,2025-06-02 20:00:00,2025-06-02 20:15:00,1.8783520623113112,Smart Trailing (Max 78%),0 days 00:15:00,99.66591295541473,78.26800672749806,39.68783669557552,4.749938615036644
ZENUSDTUSDT,LONG,11.439716999999998,11.959204084770205,2025-06-02 22:15:00,2025-06-02 22:15:00,6.391166104584221,Smart Trailing (Max 97%),0 days 00:00:00,105.98592469935397,86.29283371886748,36.689562251397355,3.5778598634543237
ALCHUSDTUSDT,LONG,0.13965979499999998,0.13763570559106497,2025-06-03 15:30:00,2025-06-03 15:30:00,-2.268969917162965,Stop Loss,0 days 00:00:00,103.64128838346227,88.68155608817533,36.08440741672233,5.4482001798969435
TRBUSDTUSDT,LONG,48.009992999999994,47.314184171451,2025-06-04 02:15:00,2025-06-04 02:15:00,-2.2187754287671133,Stop Loss,0 days 00:00:00,101.3485204592404,75.26402175835486,36.197432811778484,7.058213731093419
TRBUSDTUSDT,LONG,48.036006,49.18072061423163,2025-06-04 02:30:00,2025-06-04 03:00:00,3.3761262887961756,Smart Trailing (Max 56%),0 days 00:30:00,104.65229112551981,75.40994003514217,38.691818399017265,4.486541252012846
COMPUSDTUSDT,LONG,47.2236,47.2943881764,2025-06-04 09:45:00,2025-06-04 09:45:00,0.1492417170602823,Smart Break-even,0 days 00:00:00,104.72681856320155,82.43632062084403,35.0421537243349,9.112261996955894
COMPUSDTUSDT,LONG,47.193585,50.6775735375,2025-06-04 10:00:00,2025-06-04 10:00:00,10.964365024201987,Smart Trailing (Max 154%),0 days 00:00:00,115.61641610074457,81.39196016924222,38.33988550693761,6.754365929192948
COMPUSDTUSDT,LONG,48.39418499999999,47.692808076795,2025-06-04 10:30:00,2025-06-04 10:30:00,-2.4751415889131225,Stop Loss,0 days 00:00:00,113.05873262841548,72.07222516197858,45.55001003495563,11.400719049871649
COMPUSDTUSDT,LONG,47.793885,47.10120822469501,2025-06-04 10:45:00,2025-06-04 10:45:00,-2.4203861402740556,Stop Loss,0 days 00:00:00,110.55763060848952,65.28789962768536,46.788179150126226,3.831151384382015
