timestamp,open,high,low,close,volume
2025-12-04 01:00:00,9.066,9.094,9.054,9.093,1376.3
2025-12-04 01:01:00,9.092,9.092,9.063,9.068,1281.5
2025-12-04 01:02:00,9.067,9.075,9.059,9.075,573.4
2025-12-04 01:03:00,9.077,9.086,9.063,9.086,879.5
2025-12-04 01:04:00,9.086,9.094,9.086,9.094,75.2
2025-12-04 01:05:00,9.089,9.114,9.089,9.094,288.4
2025-12-04 01:06:00,9.098,9.1,9.086,9.09,209.4
2025-12-04 01:07:00,9.092,9.097,9.085,9.088,169.2
2025-12-04 01:08:00,9.09,9.09,9.083,9.083,136.9
2025-12-04 01:09:00,9.083,9.085,9.082,9.085,20.7
2025-12-04 01:10:00,9.084,9.094,9.084,9.092,125.5
2025-12-04 01:11:00,9.093,9.101,9.093,9.101,70.1
2025-12-04 01:12:00,9.106,9.116,9.1,9.113,747.6
2025-12-04 01:13:00,9.112,9.115,9.103,9.106,132.1
2025-12-04 01:14:00,9.104,9.118,9.104,9.112,165.3
2025-12-04 01:15:00,9.114,9.114,9.099,9.102,149.4
2025-12-04 01:16:00,9.099,9.107,9.097,9.097,70.1
2025-12-04 01:17:00,9.099,9.101,9.094,9.097,51.6
2025-12-04 01:18:00,9.094,9.095,9.092,9.095,105.2
2025-12-04 01:19:00,9.096,9.097,9.092,9.097,42.1
2025-12-04 01:20:00,9.096,9.1,9.089,9.089,57.1
2025-12-04 01:21:00,9.09,9.095,9.09,9.095,52.1
2025-12-04 01:22:00,9.094,9.094,9.076,9.084,231.3
2025-12-04 01:23:00,9.087,9.104,9.086,9.1,192.3
2025-12-04 01:24:00,9.099,9.103,9.084,9.087,59.0
2025-12-04 01:25:00,9.089,9.089,9.086,9.087,5.6
2025-12-04 01:26:00,9.086,9.087,9.079,9.079,17.0
2025-12-04 01:27:00,9.083,9.083,9.083,9.083,5.2
2025-12-04 01:28:00,9.083,9.088,9.079,9.084,17.1
2025-12-04 01:29:00,9.085,9.085,9.081,9.081,0.9
2025-12-04 01:30:00,9.082,9.085,9.078,9.08,98.2
2025-12-04 01:31:00,9.083,9.088,9.083,9.088,3.7
2025-12-04 01:32:00,9.088,9.088,9.085,9.088,29.4
2025-12-04 01:33:00,9.082,9.088,9.082,9.088,15.1
2025-12-04 01:34:00,9.088,9.098,9.088,9.092,81.3
2025-12-04 01:35:00,9.094,9.094,9.088,9.09,37.9
2025-12-04 01:36:00,9.089,9.089,9.082,9.083,7.9
2025-12-04 01:37:00,9.083,9.083,9.083,9.083,3.5
2025-12-04 01:38:00,9.081,9.083,9.081,9.082,11.6
2025-12-04 01:39:00,9.082,9.083,9.081,9.083,9.6
2025-12-04 01:40:00,9.082,9.082,9.079,9.08,17.8
2025-12-04 01:41:00,9.083,9.086,9.082,9.086,18.0
2025-12-04 01:42:00,9.084,9.091,9.084,9.091,23.9
2025-12-04 01:43:00,9.089,9.089,9.085,9.085,7.9
2025-12-04 01:44:00,9.083,9.088,9.079,9.083,52.6
2025-12-04 01:45:00,9.08,9.087,9.08,9.087,50.8
2025-12-04 01:46:00,9.086,9.086,9.082,9.083,33.2
2025-12-04 01:47:00,9.08,9.081,9.078,9.081,6.0
2025-12-04 01:48:00,9.081,9.081,9.081,9.081,6.7
2025-12-04 01:49:00,9.081,9.081,9.078,9.078,65.4
2025-12-04 01:50:00,9.079,9.079,9.079,9.079,0.4
2025-12-04 01:51:00,9.079,9.094,9.079,9.084,33.3
2025-12-04 01:52:00,9.086,9.086,9.086,9.086,2.8
2025-12-04 01:53:00,9.084,9.084,9.076,9.077,16.4
2025-12-04 01:54:00,9.08,9.08,9.08,9.08,0.8
2025-12-04 01:55:00,9.076,9.076,9.074,9.074,46.9
2025-12-04 01:56:00,9.075,9.076,9.075,9.076,5.5
2025-12-04 01:57:00,9.076,9.079,9.074,9.074,41.5
2025-12-04 01:58:00,9.073,9.073,9.07,9.071,17.2
2025-12-04 01:59:00,9.072,9.084,9.072,9.079,66.8
2025-12-04 02:00:00,9.082,9.082,9.077,9.082,10.7
2025-12-04 02:01:00,9.084,9.089,9.076,9.076,189.8
2025-12-04 02:02:00,9.077,9.078,9.063,9.07,277.0
2025-12-04 02:03:00,9.068,9.085,9.068,9.085,240.1
2025-12-04 02:04:00,9.082,9.083,9.08,9.081,35.7
2025-12-04 02:05:00,9.084,9.084,9.079,9.08,10.2
2025-12-04 02:06:00,9.08,9.082,9.078,9.082,86.0
2025-12-04 02:07:00,9.083,9.097,9.083,9.087,64.1
2025-12-04 02:08:00,9.083,9.083,9.076,9.08,52.4
2025-12-04 02:09:00,9.08,9.085,9.08,9.085,157.9
2025-12-04 02:10:00,9.085,9.087,9.083,9.083,111.4
2025-12-04 02:11:00,9.084,9.085,9.079,9.081,65.4
2025-12-04 02:12:00,9.084,9.086,9.084,9.085,9.7
2025-12-04 02:13:00,9.085,9.085,9.068,9.085,248.1
2025-12-04 02:14:00,9.086,9.086,9.084,9.084,25.4
2025-12-04 02:15:00,9.082,9.082,9.072,9.077,115.2
2025-12-04 02:16:00,9.079,9.083,9.079,9.082,78.9
2025-12-04 02:17:00,9.081,9.081,9.077,9.08,58.4
2025-12-04 02:18:00,9.079,9.079,9.071,9.071,18.1
2025-12-04 02:19:00,9.072,9.072,9.072,9.072,2.6
2025-12-04 02:20:00,9.072,9.072,9.07,9.07,9.9
2025-12-04 02:21:00,9.071,9.073,9.07,9.073,53.2
2025-12-04 02:22:00,9.071,9.072,9.071,9.072,4.1
2025-12-04 02:23:00,9.071,9.071,9.07,9.07,26.1
2025-12-04 02:24:00,9.069,9.069,9.069,9.069,15.8
2025-12-04 02:25:00,9.069,9.069,9.069,9.069,2.4
2025-12-04 02:26:00,9.069,9.069,9.066,9.066,24.7
2025-12-04 02:27:00,9.067,9.07,9.067,9.07,60.6
2025-12-04 02:28:00,9.07,9.071,9.066,9.071,8.0
2025-12-04 02:29:00,9.067,9.072,9.067,9.07,37.4
2025-12-04 02:30:00,9.068,9.073,9.068,9.073,30.7
2025-12-04 02:31:00,9.073,9.079,9.072,9.072,85.8
2025-12-04 02:32:00,9.069,9.069,9.069,9.069,1.2
2025-12-04 02:33:00,9.071,9.072,9.071,9.072,18.9
2025-12-04 02:34:00,9.073,9.076,9.072,9.073,25.0
2025-12-04 02:35:00,9.073,9.073,9.072,9.072,3.3
2025-12-04 02:36:00,9.069,9.072,9.063,9.063,18.8
2025-12-04 02:37:00,9.063,9.063,9.062,9.062,3.5
2025-12-04 02:38:00,9.06,9.066,9.058,9.066,74.7
2025-12-04 02:39:00,9.063,9.07,9.057,9.067,52.4
2025-12-04 02:40:00,9.058,9.063,9.058,9.063,8.4
2025-12-04 02:41:00,9.065,9.065,9.061,9.064,7.6
2025-12-04 02:42:00,9.062,9.065,9.062,9.065,2.6
2025-12-04 02:43:00,9.064,9.071,9.063,9.065,58.7
2025-12-04 02:44:00,9.066,9.066,9.066,9.066,7.7
2025-12-04 02:45:00,9.065,9.065,9.06,9.06,30.3
2025-12-04 02:46:00,9.061,9.066,9.061,9.066,22.0
2025-12-04 02:47:00,9.066,9.072,9.066,9.067,44.0
2025-12-04 02:48:00,9.065,9.066,9.059,9.059,39.1
2025-12-04 02:49:00,9.063,9.063,9.057,9.06,26.7
2025-12-04 02:50:00,9.057,9.061,9.054,9.061,87.4
2025-12-04 02:51:00,9.06,9.067,9.06,9.067,29.0
2025-12-04 02:52:00,9.067,9.076,9.067,9.075,34.4
2025-12-04 02:53:00,9.071,9.071,9.069,9.069,13.7
2025-12-04 02:54:00,9.069,9.069,9.063,9.065,7.6
2025-12-04 02:55:00,9.066,9.066,9.065,9.065,5.0
2025-12-04 02:56:00,9.065,9.065,9.059,9.061,20.8
2025-12-04 02:57:00,9.064,9.064,9.061,9.061,4.8
2025-12-04 02:58:00,9.059,9.059,9.051,9.051,20.4
2025-12-04 02:59:00,9.05,9.056,9.05,9.056,59.1
2025-12-04 03:00:00,9.055,9.056,9.054,9.056,4.0
2025-12-04 03:01:00,9.056,9.056,9.044,9.044,141.5
2025-12-04 03:02:00,9.044,9.044,9.042,9.044,144.3
2025-12-04 03:03:00,9.045,9.052,9.034,9.042,632.6
2025-12-04 03:04:00,9.041,9.05,9.041,9.046,591.1
2025-12-04 03:05:00,9.046,9.048,9.045,9.045,217.7
2025-12-04 03:06:00,9.044,9.053,9.044,9.052,252.2
2025-12-04 03:07:00,9.048,9.062,9.048,9.062,182.1
2025-12-04 03:08:00,9.064,9.068,9.064,9.068,84.1
2025-12-04 03:09:00,9.067,9.071,9.065,9.071,69.0
2025-12-04 03:10:00,9.071,9.072,9.07,9.071,79.7
2025-12-04 03:11:00,9.074,9.081,9.069,9.069,117.0
2025-12-04 03:12:00,9.066,9.068,9.063,9.064,63.6
2025-12-04 03:13:00,9.063,9.066,9.062,9.066,44.8
2025-12-04 03:14:00,9.066,9.074,9.066,9.072,24.2
2025-12-04 03:15:00,9.072,9.081,9.072,9.078,98.5
2025-12-04 03:16:00,9.077,9.079,9.076,9.079,50.7
2025-12-04 03:17:00,9.08,9.08,9.064,9.064,48.7
2025-12-04 03:18:00,9.068,9.07,9.068,9.07,46.3
2025-12-04 03:19:00,9.071,9.071,9.065,9.065,25.4
2025-12-04 03:20:00,9.065,9.065,9.06,9.061,24.0
2025-12-04 03:21:00,9.061,9.061,9.057,9.061,44.1
2025-12-04 03:22:00,9.06,9.06,9.057,9.058,42.0
2025-12-04 03:23:00,9.06,9.062,9.06,9.061,41.1
2025-12-04 03:24:00,9.065,9.065,9.06,9.06,131.6
2025-12-04 03:25:00,9.061,9.061,9.059,9.059,36.8
2025-12-04 03:26:00,9.059,9.059,9.056,9.057,46.0
2025-12-04 03:27:00,9.057,9.057,9.057,9.057,0.0
2025-12-04 03:28:00,9.059,9.059,9.056,9.056,17.5
2025-12-04 03:29:00,9.053,9.053,9.049,9.049,27.1
2025-12-04 03:30:00,9.051,9.058,9.051,9.058,30.7
2025-12-04 03:31:00,9.06,9.069,9.052,9.052,122.0
2025-12-04 03:32:00,9.057,9.065,9.057,9.062,59.9
2025-12-04 03:33:00,9.065,9.066,9.064,9.065,32.8
2025-12-04 03:34:00,9.065,9.066,9.064,9.066,35.7
2025-12-04 03:35:00,9.066,9.066,9.055,9.059,135.6
2025-12-04 03:36:00,9.055,9.062,9.055,9.06,34.7
2025-12-04 03:37:00,9.061,9.072,9.06,9.069,35.3
